date,desc,btc_in,btc_out,hash,bal
20140311,PAYMENT RECEIVED,0.03,0,6f72fb9cb372b7a2cd462a192c0496520542350fce80cfe77c959541eace0aaa,6.47928484
20140311,PAYMENT RECEIVED,0.025,0,6d4859fb553f98eeb5b5894fd95700ac0c9120ad9d356b8387d4da07fce72299,6.50428484
20140311,PAYMENT RECEIVED,0.06,0,0dec981b39046891a1c07741278d57356fae81a7daf158a184ec91ddc76262a8,6.56428484
20140311,PAYMENT SENT,0,-4.0005,b391b6ac2052b1050e63b4de7823b6178979f6c821a919bbe133b57be2b749b1,2.56378484
20140311,PAYMENT RECEIVED,0.6723,0,6b805907f45fdf586f7abd868e9c0777a9e5ee2b2197c2fbd725a3427c11e39c,3.23608484
20140311,PAYMENT RECEIVED,0.184,0,8216b0bb4c88c7aacabcea6e1cfab7207241a29e97fd10c516c41ed015043da0,3.42008484
20140311,PAYMENT RECEIVED,0.02,0,3558bb68c9451f154039d6c3981e9470f08e88afa26999742d2a42362cab38d2,3.44008484
20140311,PAYMENT RECEIVED,0.018,0,dac28d5fd9ef123be561992834e2e60e23bfe1eb16b4d768f6a6c6bcd5b6f1f8,12.38199629
20140311,PAYMENT RECEIVED,0.06758855,0,5d32214b7b6108101d172693fb99bc9786838339f48031d4e299578b350f426a,12.44958484
20140311,PAYMENT SENT,0,-5.0001,e034faf515f08488c98aefc3d5b29a41c798df04890246849f7265fe49b20856,7.44948484
20140311,PAYMENT SENT,0,-1.0002,d1f24bc5734176080db4e7a2268a6d8c2ad20aca189300d036063294f04d8088,6.44928484
20140311,PAYMENT RECEIVED,0.1,0,51eb904cb51aacb197c398fef90b40ff02f50e8a2c04616b75258e9389879384,10.73820889
20140311,PAYMENT RECEIVED,0.1,0,3c1835acbf46e8dedd1e9e8d3bd89aff120c82ea197ecb4388c1eb8b775e9d4a,10.83820889
20140311,PAYMENT RECEIVED,0.021,0,2a360c043f4c5084d84bf852c5a7f811137b8d7802a5f9227be12efb4d29d3c4,10.85920889
